,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,Icon URL
0,0,0,0,0,0,10.0,Counter-Strike,12617.94,11753.8,10526.59,9564.55,9246.58,9165.61,9317.42,9159.92,8463.54,8283.56,8773.82,9575.4,10197.54,9673.98,12509.52,17764.58,15347.51,12076.3,11532.45,10664.91,9983.94,10320.58,11278.7,12239.53,13094.31,12091.33,12311.34,12426.28,10740.95,9497.45,9137.76,8851.19,8461.12,8671.71,9141.35,9362.36,10352.24,10557.11,9774.55,9578.26,8703.65,8583.06,9027.23,8686.96,8004.76,8177.3,8653.45,9174.27,
1,1,1,1,1,1,20.0,Team Fortress Classic,69.74,68.16,60.02,58.83,58.06,64.79,68.37,58.1,52.27,52.27,55.15,62.72,73.97,76.06,83.29,95.51,95.17,86.18,86.44,79.06,70.08,69.89,70.45,74.0,79.08,68.31,61.19,57.63,60.07,61.8,66.89,64.2,59.73,55.27,58.17,63.89,67.41,64.26,61.03,57.9,53.73,58.38,61.4,55.07,49.34,51.12,57.55,62.2,
2,2,2,2,2,2,30.0,Day of Defeat,109.82,106.02,102.3,92.26,92.56,99.19,99.35,96.09,93.51,94.15,101.64,108.7,105.45,105.87,129.38,172.7,142.4,110.99,110.52,106.58,101.19,104.98,109.85,112.77,117.04,112.93,105.42,103.37,97.73,88.53,91.82,91.86,90.77,89.82,91.31,96.0,100.04,96.36,94.61,96.83,89.24,87.91,86.6,79.73,83.76,86.69,95.28,102.98,
3,3,3,3,3,3,40.0,Deathmatch Classic,3.52,4.82,3.91,3.19,5.88,6.47,8.55,6.54,5.37,4.42,7.01,7.0,5.66,4.49,5.64,7.48,7.13,6.41,7.8,6.84,7.28,7.45,6.74,4.78,4.41,4.9,4.42,2.95,3.41,4.13,4.04,3.49,4.35,3.57,4.47,4.56,4.98,4.35,3.43,3.49,2.48,3.86,5.54,4.15,4.48,3.08,5.0,5.56,
4,4,4,4,4,4,50.0,Half-Life: Opposing Force,84.97,71.25,61.9,54.61,52.45,73.91,112.87,71.15,70.75,63.2,84.57,134.88,195.07,209.64,227.5,186.09,119.6,95.33,119.88,90.62,80.01,78.46,93.25,111.27,128.28,105.72,89.22,83.77,88.65,90.02,121.18,91.36,84.49,73.14,76.23,98.45,113.22,97.67,79.81,72.23,69.31,72.95,98.85,84.04,62.76,59.33,86.84,123.33,
5,5,5,5,5,5,60.0,Ricochet,6.74,4.72,5.58,4.85,6.1,7.4,10.63,8.28,8.29,6.3,5.06,6.65,6.31,5.13,4.01,6.14,5.39,4.9,4.96,3.75,3.35,5.02,4.39,6.1,7.76,6.28,5.82,5.33,5.19,6.91,6.56,4.56,4.49,4.86,4.19,5.62,7.15,6.99,4.93,7.46,6.96,6.47,9.0,6.54,7.14,4.77,7.39,6.8,
6,6,6,6,6,6,70.0,Half-Life,463.74,405.26,356.1,314.48,297.48,438.51,634.86,392.55,368.26,355.26,576.92,809.5,1367.23,1135.31,1656.03,1008.22,633.98,563.89,756.56,506.73,444.47,445.88,647.55,734.34,788.97,610.33,517.14,507.0,526.67,564.86,699.14,517.47,474.01,409.23,473.18,623.5,696.57,583.24,443.52,423.76,406.16,467.15,629.12,525.41,387.46,369.25,596.18,844.91,
7,7,7,7,7,7,80.0,Counter-Strike: Condition Zero,540.16,497.46,468.39,417.95,425.78,421.85,447.63,392.96,385.78,374.91,394.32,439.32,424.9,415.02,599.17,846.77,685.23,547.13,513.3,449.07,415.38,406.8,440.57,479.67,499.36,475.88,431.66,429.65,427.13,381.71,383.65,356.96,343.12,332.53,353.03,385.35,407.08,381.26,350.19,350.75,317.01,315.1,334.63,308.07,301.32,308.48,347.31,399.75,
8,8,8,8,8,8,130.0,Half-Life: Blue Shift,43.58,33.94,29.82,25.44,26.16,47.76,66.34,37.72,38.88,36.43,50.14,77.35,111.2,111.38,117.94,91.48,61.81,46.0,61.82,44.98,38.64,38.85,50.52,59.88,66.78,53.95,46.24,46.06,42.6,43.41,59.65,45.62,37.26,34.59,37.51,50.57,56.14,45.54,36.47,35.26,35.63,36.2,52.91,40.42,31.86,25.7,43.31,64.75,
9,9,9,9,9,9,220.0,Half-Life 2,847.21,723.41,602.97,509.34,501.36,674.27,999.53,611.18,548.12,586.49,935.99,1250.78,1760.4,1620.67,2400.3,1883.95,977.19,772.74,1012.3,711.14,611.97,649.92,901.31,1008.64,1071.65,829.1,745.47,696.44,677.43,700.88,945.59,846.23,624.17,575.4,671.37,864.69,1018.35,896.51,715.79,670.29,619.92,689.33,888.71,707.99,629.18,612.61,810.49,1133.4,
