appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
220700.0,RPG Maker VX Ace,260.16,241.51,241.8,228.4,230.46,217.41,227.62,218.83,215.66,206.79,204.94,208.7,214.12,220.55,230.12,264.41,273.28,235.26,230.47,225.24,204.26,195.7,193.03,198.25,218.79,214.5,208.92,193.57,192.11,190.53,189.04,173.92,168.93,164.63,166.12,164.67,191.01,181.74,182.81,174.85,170.55,177.62,196.26,181.25,167.34,160.97,154.51,156.94
220980.0,CRYENGINE,1.38,1.5,1.36,1.33,0.38,0.73,0.48,0.43,0.53,0.31,0.16,0.1,0.04,0.06,0.05,0.06,0.03,0.04,0.04,0.02,0.05,0.06,0.03,0.05,0.03,0.02,0.02,0.05,0.0,0.01,0.02,0.02,0.04,0.02,0.01,0.03,0.04,0.01,0.02,0.02,0.02,0.02,0.01,0.04,0.02,0.0,0.01,0.04
228180.0,Action! - Gameplay Recording and Streaming,212.27,219.3,221.79,212.77,214.71,229.56,297.31,262.76,250.74,245.26,271.4,272.09,277.97,297.9,350.57,501.39,467.75,422.11,439.07,408.2,389.5,404.7,430.93,427.51,481.08,465.46,438.61,457.96,454.01,449.28,488.26,494.01,484.31,437.69,443.83,432.24,503.38,500.72,463.13,466.9,437.1,418.54,431.76,418.42,403.19,401.84,412.6,444.24
230780.0,articy:draft,7.56,6.57,6.91,5.86,6.1,6.47,6.57,9.04,7.41,6.62,5.54,5.42,6.6,5.76,4.42,7.07,5.87,6.09,5.93,3.87,4.24,5.34,4.2,6.0,5.39,4.53,4.66,4.66,3.77,3.84,3.44,2.81,3.74,2.87,3.12,3.22,4.15,4.27,4.87,2.9,3.26,2.63,2.4,2.0,2.19,2.37,2.46,2.53
234820.0,Driver Fusion - The Best Driver & Device Solution,17.29,17.73,38.33,40.28,37.81,35.19,34.1,29.98,29.92,29.8,26.61,24.57,39.58,48.52,49.39,52.17,49.52,50.45,47.06,47.5,43.2,44.89,41.47,44.09,40.01,33.72,33.97,33.37,34.57,34.82,37.4,33.77,34.27,31.88,29.76,32.99,30.77,29.98,31.26,31.57,33.34,32.24,32.75,27.87,30.13,31.56,29.58,30.85
235900.0,RPG Maker XP,78.08,72.21,81.96,73.21,73.97,75.19,93.2,86.14,70.87,65.02,71.32,94.6,89.05,85.11,88.49,106.37,124.94,112.63,133.84,127.29,113.96,107.91,120.32,140.75,146.69,147.63,147.47,141.82,139.71,128.94,137.38,132.02,120.82,110.05,117.92,137.81,150.62,145.68,146.33,148.89,150.79,164.55,166.97,148.7,130.85,151.86,143.73,154.14
243890.0,Mavis Beacon Teaches Typing Family Edition,0.52,1.47,1.1,0.5,0.73,0.24,0.64,0.44,1.18,0.19,0.26,0.19,0.17,0.38,0.46,0.25,0.44,0.67,0.37,0.56,0.6,0.91,1.17,0.84,0.95,0.62,0.69,0.44,0.85,0.45,0.74,0.83,0.67,0.79,1.2,1.18,1.02,1.08,0.84,0.76,1.0,1.12,1.57,0.79,1.41,2.78,2.46,1.72
248170.0,Clickteam Fusion 2.5,112.31,112.49,115.33,112.46,104.12,110.55,116.18,107.53,98.16,99.11,109.61,111.25,121.14,119.5,130.61,146.07,139.79,128.07,129.25,126.21,114.19,113.35,118.41,114.27,124.11,128.18,126.27,120.93,113.23,117.15,110.42,115.28,109.17,114.81,109.84,111.87,143.28,139.5,127.86,125.19,117.81,113.07,120.66,121.78,112.2,108.36,110.97,123.91
251810.0,Leadwerks Game Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253050.0,Camtasia - Subscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253370.0,Axis Game Factory's AGFPRO v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266310.0,GameGuru Classic,19.56,17.61,59.95,24.28,19.73,23.79,29.77,16.35,18.15,16.42,17.49,20.42,21.44,20.9,25.25,30.47,26.01,21.58,18.6,18.96,36.09,21.08,19.42,20.68,24.5,23.16,19.19,17.69,19.56,14.5,24.16,13.23,14.4,16.57,15.6,16.22,15.25,24.85,20.06,19.76,13.91,14.35,13.66,11.73,9.05,9.2,9.4,10.63
269570.0,Gamer To Game Developer Series 1: More Than a Gamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288270.0,liteCam HD 5.0: Screen/Stream Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292350.0,Gamer To Game Developer Series 2: Learn Unity 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315240.0,liteCam Android: No Root Android Screen Recorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322410.0,Bin Weevils Arty Arcade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325180.0,AppGameKit Classic: Easy Game Development,12.61,11.64,9.73,11.39,41.21,38.39,32.53,12.42,11.98,10.77,9.11,12.17,12.31,10.34,12.17,13.47,13.02,9.6,8.67,7.95,7.06,19.2,10.84,9.84,8.68,9.34,9.7,8.22,6.58,5.73,5.85,6.73,6.31,5.83,5.97,6.81,7.13,5.61,6.5,6.33,4.87,5.73,5.78,3.8,4.71,2.85,3.2,3.42
329890.0,MyRPG Master,0.94,1.02,0.59,0.6,0.6,1.51,1.17,1.42,1.24,0.17,0.39,0.33,0.6,0.53,0.82,0.43,0.47,0.31,0.64,1.23,0.33,0.42,0.32,0.31,0.46,0.23,0.22,0.19,0.27,0.05,0.1,0.03,0.04,0.08,0.06,0.03,0.1,0.13,0.11,0.13,0.01,0.02,0.06,0.07,0.04,0.3,0.61,0.9
345300.0,Wildlife Creative Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345310.0,My Family Creative Studio,,,,,,,,,,,,,,,,0.03,0.06,0.07,0.16,0.09,0.02,0.01,0.11,0.27,0.03,0.03,0.05,0.06,0.04,0.06,0.04,0.08,0.04,0.04,0.08,0.07,0.17,0.08,0.06,0.08,0.06,0.07,0.0,0.03,0.01,0.02,0.01,0.0
349280.0,Panda School Browser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355500.0,Leadwerks Game Launcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362870.0,RPG Maker 2003,28.88,28.89,28.48,25.41,24.21,25.61,24.6,24.82,22.75,22.48,23.79,26.51,25.1,26.09,27.75,30.59,35.0,29.94,29.19,31.99,30.13,30.04,30.36,29.48,34.44,30.21,26.72,24.38,28.12,30.56,44.01,29.82,27.58,33.44,32.98,33.06,34.08,34.55,32.68,31.02,32.92,33.81,37.62,34.66,29.66,31.01,32.46,34.33
363890.0,RPG Maker MV,979.08,936.58,1058.29,903.2,950.95,908.48,1059.12,913.75,909.99,874.77,892.86,967.26,1015.31,1104.69,1109.95,1191.8,1338.07,1095.05,1216.08,1144.92,1008.38,886.72,890.47,889.71,988.9,949.09,970.26,915.38,925.43,863.82,941.57,882.58,815.13,806.4,878.41,868.97,936.82,871.57,831.4,872.11,797.1,805.17,904.62,828.52,772.0,752.25,740.27,751.37
364970.0,CopperCube 5 Game Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365440.0,Platfinity™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366530.0,Esenthel Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368470.0,GeoVox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369190.0,Shoot 'Em Up Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372980.0,MasterCook 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373000.0,Family Tree Heritage Platinum 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377000.0,AnyTime® Organizer Deluxe 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.04,0.1,0.1,0.03,0.37,0.01,0.17,0.09,0.0,0.02,0.02,0.03,0.0,0.01
377010.0,Easy Spanish™ Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.22,0.04,0.01,0.29,0.67,0.03,0.0,0.04
377030.0,Easy English™ Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383730.0,RPG Maker 2000,3.09,2.93,2.46,2.43,4.14,3.83,2.38,3.48,3.13,4.77,5.27,3.78,4.79,4.92,3.58,4.51,5.37,5.32,5.05,5.21,4.55,3.57,5.09,5.91,7.79,8.12,5.82,7.21,7.48,6.75,7.85,6.87,7.88,4.95,5.95,5.88,7.81,7.61,7.1,6.18,6.15,7.97,7.55,6.49,6.21,5.43,6.72,6.88
388600.0,articy:draft 3 - Flex License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
