appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
2990.0,FlatOut 2™,74.23,59.96,65.72,44.94,51.83,52.58,78.38,52.94,68.17,52.58,80.22,74.03,78.51,57.06,93.92,96.17,109.64,66.42,87.53,68.91,85.87,72.1,126.64,93.67,122.01,96.15,115.48,80.83,103.82,74.47,92.67,83.82,94.58,83.14,127.89,110.7,127.89,93.81,99.94,97.46,88.46,107.42,106.27,88.57,93.69,106.72,83.43,112.49
3010.0,Xpand Rally,0.68,1.4,1.31,0.89,1.8,1.31,1.15,0.58,2.03,2.92,2.1,1.9,2.28,2.2,2.13,1.69,1.62,2.56,2.09,2.51,2.2,1.23,1.13,1.63,1.54,1.78,2.0,1.84,1.41,1.74,1.09,1.69,1.73,1.11,1.4,1.53,1.41,4.0,1.88,2.03,1.34,1.97,1.26,1.3,1.82,1.18,2.3,1.59
3050.0,Xpand Rally Xtreme,0.32,0.46,0.43,0.37,0.35,0.22,0.3,0.24,0.3,0.26,0.82,0.6,0.5,0.75,0.47,0.49,0.2,1.18,1.03,1.42,1.05,1.52,1.44,1.76,1.18,1.85,1.35,1.68,1.15,1.17,0.9,1.11,0.93,0.91,1.53,1.09,1.18,1.17,1.38,0.86,0.71,1.41,3.14,1.41,1.26,1.55,1.3,1.12
4290.0,RACE: Caterham Expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6080.0,Thrillville®: Off the Rails™,5.45,4.41,4.31,6.53,5.82,6.09,5.61,4.33,3.05,3.23,4.1,6.22,5.83,5.36,4.87,7.45,7.22,6.58,6.7,7.06,6.26,5.98,6.17,8.38,7.67,8.13,8.0,6.89,6.15,7.41,8.45,5.74,5.66,5.97,6.16,6.53,11.81,6.9,5.91,6.57,5.51,7.98,8.72,5.87,5.69,4.76,6.45,7.25
6220.0,FlatOut,15.15,13.13,13.93,8.35,11.83,12.71,17.15,13.75,17.16,14.19,22.37,18.42,17.98,13.64,19.13,19.72,18.81,14.67,15.85,13.67,14.98,14.07,19.3,15.91,18.76,17.76,19.48,13.74,14.44,11.43,15.13,13.95,13.57,13.95,20.6,19.11,20.92,17.26,15.64,11.87,12.22,14.69,14.98,12.32,13.55,15.19,12.94,17.28
6270.0,Ducati World Championship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7200.0,Trackmania United Forever,55.97,52.02,51.42,50.07,48.56,47.56,47.04,52.35,52.05,51.34,50.56,54.08,60.07,56.42,80.61,95.64,90.54,82.44,69.48,54.87,51.85,57.4,68.05,73.33,83.22,91.49,99.39,118.14,112.61,93.7,99.92,86.43,82.98,77.2,82.01,97.72,118.76,115.74,119.88,112.24,102.67,104.51,103.03,103.22,101.85,101.93,97.36,102.15
7840.0,Death Track®: Resurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8600.0,RACE 07,20.8,18.21,19.35,19.74,21.31,18.95,17.3,18.26,17.7,17.71,17.82,20.14,18.06,16.12,23.64,29.04,24.11,21.5,19.27,15.41,17.64,18.28,19.75,17.07,16.67,15.87,15.29,17.35,14.05,13.29,10.37,12.64,11.42,11.92,11.38,12.52,12.61,9.79,10.65,11.44,9.38,9.26,10.54,9.31,9.19,9.84,8.72,8.65
