,Unnamed: 0.1,Unnamed: 0,appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,Icon URL
0,0,0,1700.0,Arx Fatalis,3.86,3.76,3.47,2.17,2.72,4.35,7.5,5.96,4.05,3.49,4.46,6.14,7.98,5.14,4.35,6.1,5.67,14.96,11.93,16.22,8.45,8.84,7.45,10.14,11.4,9.67,9.65,8.42,10.08,9.7,12.25,23.87,14.69,12.53,12.38,14.64,18.57,15.49,11.08,9.22,10.58,12.59,12.84,15.48,13.59,17.37,13.46,13.83,
1,1,1,1930.0,Two Worlds Epic Edition,82.36,198.75,86.6,149.04,238.04,131.77,187.23,63.41,102.17,63.86,102.93,119.8,96.49,140.61,216.82,136.22,107.56,125.35,160.72,411.57,160.24,104.64,102.6,126.07,162.76,91.04,196.24,111.84,98.84,149.4,249.13,123.62,152.59,168.1,184.9,63.53,213.0,105.21,101.66,62.0,58.2,39.81,55.69,37.33,43.28,89.23,31.43,52.55,
2,2,2,2100.0,Dark Messiah of Might & Magic,59.38,46.51,47.83,36.31,33.87,38.04,50.61,52.23,38.87,53.72,40.93,54.82,65.16,47.34,67.46,51.37,62.12,45.66,52.63,55.51,47.3,33.94,43.88,49.42,50.87,47.47,54.88,39.11,35.5,37.4,47.74,37.43,40.79,36.51,54.96,41.9,47.09,35.4,40.29,28.66,34.35,37.56,35.72,34.58,27.09,27.66,32.53,37.69,
3,3,3,2400.0,The Ship: Murder Party,14.54,11.43,10.32,13.01,9.58,13.41,15.37,11.29,6.85,9.1,11.66,13.76,13.53,8.73,14.3,17.28,14.26,10.87,14.04,9.01,8.57,9.59,10.88,10.25,8.64,9.24,13.14,9.09,7.93,6.53,6.36,4.83,22.98,12.02,3.95,4.77,4.84,3.64,3.4,3.53,4.58,3.19,4.03,3.72,3.9,2.83,3.44,4.01,
4,4,4,2420.0,The Ship: Single Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,2570.0,Vigil: Blood Bitterness™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,3170.0,King's Bounty: Armored Princess,41.78,40.76,33.44,30.33,29.44,31.74,34.15,36.24,36.12,35.95,42.98,45.06,46.01,39.99,42.03,66.42,52.18,42.97,41.36,40.51,33.64,38.78,44.62,43.58,49.91,46.09,48.76,41.45,44.69,49.34,49.45,66.78,75.08,55.1,46.16,42.89,49.74,43.8,37.69,40.22,40.12,37.69,43.45,41.7,35.74,40.75,37.34,40.83,
7,7,7,3920.0,Sid Meier's Pirates!,101.2,116.47,92.74,93.18,95.34,98.71,112.88,125.29,119.35,111.07,111.28,159.81,195.56,126.77,161.12,181.53,146.26,132.44,133.97,125.47,133.54,124.34,134.27,123.88,125.25,162.39,150.53,144.68,115.29,109.97,118.25,113.38,104.89,105.74,108.83,123.38,141.64,137.85,126.11,115.82,118.77,113.85,129.71,105.62,100.34,91.75,100.54,108.62,
8,8,8,4420.0,Silverfall,1.09,0.79,0.86,0.68,0.76,1.05,0.62,0.45,0.72,0.56,0.56,1.5,0.98,0.82,0.55,0.83,0.59,0.8,0.61,0.83,0.79,0.81,0.53,2.64,1.6,1.43,1.03,1.5,0.84,1.11,1.02,1.09,0.78,0.72,1.08,2.3,1.41,1.05,1.38,1.13,0.78,0.88,0.97,1.45,0.91,1.0,1.42,1.63,
9,9,9,4470.0,Silverfall: Earth Awakening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,4500.0,S.T.A.L.K.E.R.: Shadow of Chernobyl,269.08,265.29,220.64,195.21,259.08,304.9,316.65,239.39,191.86,192.2,220.1,248.0,279.16,226.98,268.46,345.2,279.88,242.57,345.69,309.54,239.09,251.32,356.77,353.25,437.17,379.6,299.04,340.21,324.15,584.11,562.61,362.94,298.34,325.39,397.48,426.06,541.65,449.45,368.25,755.38,412.22,406.53,352.93,342.11,317.04,401.97,322.28,449.57,
11,11,11,6300.0,Dreamfall: The Longest Journey,8.01,6.53,5.61,5.06,5.43,5.7,7.19,5.14,5.66,4.07,5.74,6.59,6.34,4.96,7.38,10.67,8.9,6.34,8.23,6.28,4.83,4.58,5.29,5.32,7.37,6.24,5.05,4.45,5.53,4.68,4.41,2.95,4.12,3.5,3.9,4.31,6.12,5.41,3.6,3.34,3.45,3.62,4.27,3.93,4.35,3.53,4.05,4.59,
12,12,12,6310.0,The Longest Journey,14.64,12.8,8.37,8.68,9.85,9.98,9.63,7.27,6.75,5.71,8.29,8.89,10.08,8.15,11.19,17.81,10.87,10.08,10.76,8.6,7.5,7.51,10.69,11.04,11.27,8.16,7.79,7.9,5.93,6.15,8.42,6.58,6.42,5.63,6.58,7.74,9.06,7.02,5.22,5.46,6.42,6.4,7.49,7.22,6.48,6.57,6.44,7.77,
13,13,13,7110.0,Jade Empire™: Special Edition,12.87,12.19,9.33,8.0,8.81,11.4,13.63,9.95,8.14,7.28,8.91,13.4,12.65,9.75,10.61,12.56,12.24,31.55,15.51,9.83,10.42,8.55,9.15,9.07,10.09,16.41,11.91,8.92,10.95,9.34,10.17,9.63,8.9,8.15,9.03,9.96,11.63,10.68,6.79,11.28,8.55,10.01,10.28,7.88,9.59,5.94,7.81,7.25,
14,14,14,7260.0,Loki,2.74,3.22,3.2,1.73,1.77,1.82,1.85,1.84,1.82,1.77,2.08,1.89,2.41,1.63,2.75,2.58,2.44,1.93,2.26,2.0,2.52,2.38,2.57,1.99,2.13,2.56,2.03,2.24,2.36,2.48,2.33,2.63,2.19,2.44,1.69,1.55,2.26,2.5,1.9,2.41,1.6,2.02,2.78,2.47,2.44,1.62,2.06,2.78,
