appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
8790.0,GTR 2 FIA GT Racing Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140.0,3D Ultra™ Minigolf Adventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10520.0,Beijing 2008™ - The Official Video Game of the Olympic Games,,,,,,,,,,,,,,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.07,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.0,0.07,0.03,0.01,0.0,0.01,0.0
12690.0,Hunting Unlimited 2010,2.56,2.65,2.05,2.55,1.92,2.18,2.28,1.58,1.81,1.93,2.65,2.98,1.98,2.41,3.61,3.72,3.18,2.49,3.0,3.36,2.35,2.4,4.68,4.23,4.99,4.47,3.4,3.4,4.43,3.55,2.91,2.05,2.17,2.35,3.32,4.88,3.54,3.56,2.42,2.55,2.45,1.43,2.62,2.62,1.79,2.46,3.29,3.29
15520.0,AaAaAA!!! - A Reckless Disregard for Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15560.0,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16600.0,Trials 2: Second Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16620.0,Monster Trucks Nitro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18820.0,Zero Gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200.0,Galactic Bowling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
